name,movie,date,rating
1e45e2c9,e45cc73b,2020-12-23,4
4b85b3d5,af8ceb8b,2020-08-10,3
c49b0d6d,35532739,2021-05-30,4
896f7ced,e45cc73b,2020-12-26,3
51cfe13b,8c62add9,2020-12-07,1
49682dbf,b2918457,2021-01-23,1
a61d331e,894b36c1,2020-12-20,4
db60a801,72005112,2021-04-23,3
e3539213,894b36c1,2020-11-08,5
e6b513e4,891a419f,2021-06-08,3
33792bd8,72005112,2021-03-01,3
8c055669,af8ceb8b,2020-07-30,2
9077758a,7a1b2da0,2021-01-14,4
484ea7ba,891a419f,2021-03-31,2
a8349fb6,5da63f6f,2021-02-20,3
2f039011,72005112,2020-10-16,4
332447c2,6885ce91,2020-08-04,2
225df58d,e45cc73b,2020-12-25,3
9360a80c,5da63f6f,2021-04-11,3
305cd810,e45cc73b,2021-04-20,4
e88dae3a,72005112,2020-12-08,3
d0f6a4fb,dfe75058,2021-02-18,2
d215fd7c,e45cc73b,2020-12-05,3
3bd4aefe,35532739,2021-04-10,4
c1538df2,72005112,2020-08-24,4
4f490093,71e881b0,2020-07-12,1
d027fdee,dfe75058,2021-03-03,3
5b6fc12e,7a1b2da0,2020-08-13,4
6bd420ff,35532739,2020-12-20,4
894e4921,894b36c1,2021-05-03,4
910e1ee2,afee44e6,2020-10-26,2
e3118bcb,622aa154,2021-03-29,2
9ab5bdd1,266138ca,2021-04-19,1
62c7ff24,afee44e6,2021-06-04,2
5babb874,e45cc73b,2020-09-05,3
6f344374,71e881b0,2021-06-13,1
5c4c6fb9,6885ce91,2021-06-21,3
9d139d8c,622aa154,2021-01-31,2
981c2cc6,266138ca,2021-01-28,1
b529e8e3,8c62add9,2021-04-25,1
4f490093,afee44e6,2020-12-14,1
5ec9556e,ebb77707,2021-03-11,2
7583729d,72005112,2020-11-27,4
757814cc,afee44e6,2021-05-10,1
875df5e2,6885ce91,2021-01-19,3
9df8aad4,35532739,2021-01-21,3
69adc782,e45cc73b,2021-01-26,4
24a45fad,8c62add9,2021-01-15,2
c41bc6a3,af8ceb8b,2020-07-09,2
af9ad9ee,45ef8414,2021-04-28,0
b032a000,e45cc73b,2020-08-29,4
8fb554f7,894b36c1,2021-01-14,4
50b0d467,af8ceb8b,2020-12-13,3
a41416b3,35532739,2021-05-07,4
95142a0c,ebb77707,2020-07-31,2
b0184e37,afee44e6,2021-03-15,2
12f38910,8c62add9,2020-08-26,2
542759c8,dfe75058,2020-10-08,2
5d226d7f,5da63f6f,2020-10-15,4
4de263a1,5da63f6f,2021-03-14,4
74a847ae,71e881b0,2021-05-04,1
69c50cb7,6885ce91,2020-10-07,3
3c69917c,e45cc73b,2021-01-23,3
2163c3db,7a1b2da0,2020-11-16,4
1be74d20,ebb77707,2021-01-04,2
655c925d,afee44e6,2021-01-12,1
053cf1a9,5da63f6f,2021-02-21,3
ae630261,afee44e6,2021-03-07,2
e02c02e1,ebb77707,2021-02-24,1
489feb46,894b36c1,2021-05-06,5
bf125f52,afee44e6,2020-10-05,1
6b20004c,af8ceb8b,2020-10-10,2
54a70a94,ebb77707,2021-01-28,2
16f12ecf,ebb77707,2021-06-19,2
20c1c206,afee44e6,2020-08-24,2
19ae7ed8,7a1b2da0,2021-02-14,4
825e4001,891a419f,2020-09-30,3
e3118bcb,8c62add9,2021-01-30,2
a272facd,72005112,2021-01-24,3
88cf97b6,b8c4f430,2020-07-14,1
864439cf,afee44e6,2021-05-23,1
c67fd70b,35532739,2020-10-09,3
23f6fc0c,8c62add9,2021-04-24,1
8bd1389c,72005112,2021-04-09,4
06206ca8,891a419f,2021-04-10,2
78489c68,af8ceb8b,2020-08-16,3
896f7ced,72005112,2020-09-28,4
e2d73531,b8c4f430,2020-08-25,2
35b7074d,622aa154,2021-06-26,3
fa567e53,8c62add9,2021-03-20,2
b898c4d6,dfe75058,2021-04-08,2
b0bb87c0,dfe75058,2020-12-15,2
a99d7cfd,72005112,2021-05-28,3
87c8919e,6885ce91,2020-07-05,3
420b7daa,35532739,2020-12-15,3
c8cbe67f,af8ceb8b,2021-01-28,3
cd2ce037,af8ceb8b,2020-10-29,3
15163297,6885ce91,2020-07-05,3
f3f38b8f,71e881b0,2021-03-31,2
64151f35,894b36c1,2020-07-04,4
045745c1,71e881b0,2021-03-18,2
e288c998,35532739,2020-11-14,4
d21dce11,6885ce91,2020-10-28,3
880ede00,e45cc73b,2021-02-26,4
0fbd1fff,6885ce91,2021-01-23,3
52101364,891a419f,2020-09-12,3
29939db1,b8c4f430,2021-05-12,1
3bd4aefe,dfe75058,2020-12-28,3
67d0deb6,71e881b0,2021-02-26,1
52c51ae8,b2918457,2021-03-11,0
a80975d2,7a1b2da0,2021-01-27,3
5c4c6fb9,891a419f,2020-08-01,3
2f039011,7a1b2da0,2020-09-30,3
200e1c83,afee44e6,2021-02-24,2
fd73a34d,7a1b2da0,2020-11-20,3
0661651d,ebb77707,2021-01-04,2
1d205776,6885ce91,2020-09-10,3
e6b513e4,894b36c1,2020-08-17,5
0a756a4c,af8ceb8b,2021-06-04,3
d66dcf22,afee44e6,2020-09-09,1
69adc782,894b36c1,2020-10-08,4
9d475003,dfe75058,2020-08-27,3
81d19c10,af8ceb8b,2020-09-22,2
be32b146,7a1b2da0,2020-09-22,4
eeb393c4,7a1b2da0,2021-02-09,3
5f87892b,ebb77707,2020-09-23,2
f1eb9114,894b36c1,2021-06-06,4
62d39b36,b8c4f430,2021-04-02,1
b13f6c67,7a1b2da0,2020-10-02,3
c3661ccb,891a419f,2021-01-10,2
5a4f5521,266138ca,2020-09-10,0
dde382b6,8c62add9,2021-02-25,2
c2352b7c,72005112,2020-11-15,4
f3f38f85,72005112,2021-06-25,4
0098bbdb,af8ceb8b,2020-08-03,3
f3f38f85,891a419f,2020-10-16,2
b38e2e19,5da63f6f,2021-01-12,4
10dbeb33,7a1b2da0,2021-04-01,3
3410b948,5da63f6f,2021-03-04,3
c49b0d6d,8c62add9,2021-01-18,2
1a6a84be,b8c4f430,2020-07-31,1
1b844387,e45cc73b,2021-02-14,4
5f2b0f12,72005112,2020-11-20,4
0089e511,71e881b0,2021-03-11,2
3410b948,af8ceb8b,2021-04-14,3
342b8b5c,6885ce91,2021-01-13,3
b73d1485,af8ceb8b,2020-09-20,3
4a1d6a16,6885ce91,2020-12-08,3
26906e39,8c62add9,2020-08-23,2
ce94f8f3,894b36c1,2021-02-04,5
4fe4e302,8c62add9,2021-02-07,2
6f70773c,72005112,2021-02-13,4
eee30c3a,7a1b2da0,2021-03-13,3
3302cefe,8c62add9,2021-01-25,1
d72c0488,5da63f6f,2020-08-04,4
22c9f102,266138ca,2021-05-09,1
a91cee72,dfe75058,2021-03-19,2
d0b234ad,6885ce91,2020-07-14,3
ac3cb16f,8c62add9,2020-09-23,2
e460a5d5,71e881b0,2020-08-16,1
1b78dfb5,622aa154,2020-08-23,3
458f10d8,af8ceb8b,2021-06-17,2
5e242329,b8c4f430,2020-07-24,1
0e297bc6,894b36c1,2021-06-28,5
ab09cbaa,dfe75058,2021-06-17,2
753a0475,ebb77707,2021-02-22,1
58c57eb9,b2918457,2021-02-01,1
5fa4d2a0,894b36c1,2020-09-13,5
9c626e58,35532739,2021-06-24,3
51bb84bb,e45cc73b,2020-09-24,3
fd73a34d,891a419f,2020-09-21,3
04d581cc,72005112,2021-01-01,4
ec8f3af3,e45cc73b,2020-08-19,3
5e2ad9d5,72005112,2020-12-19,4
6f602559,6885ce91,2021-05-27,2
1b4d7641,8c62add9,2021-01-16,1
2e0f1753,5da63f6f,2021-03-25,4
13a21ae1,6885ce91,2020-06-30,2
29939db1,5da63f6f,2020-07-01,3
8de070fe,5da63f6f,2021-04-01,4
6d5e7524,891a419f,2021-02-26,3
53607815,b2918457,2020-10-28,1
5d226d7f,891a419f,2021-06-27,3
c41bc6a3,6885ce91,2020-11-23,2
6a64661c,ebb77707,2021-03-27,1
260534d3,dfe75058,2021-03-27,2
5cedaeb6,891a419f,2021-02-17,2
776de436,5da63f6f,2020-11-14,3
13f8140c,894b36c1,2021-01-17,5
a0a67b53,622aa154,2021-02-05,3
d77aa8a6,7a1b2da0,2021-05-29,4
a56b66f0,8c62add9,2021-06-23,1
81d19c10,72005112,2020-11-24,3
8cb4895b,b8c4f430,2020-11-08,1
645f3188,894b36c1,2020-08-22,4
aa5e57fd,8c62add9,2020-07-24,2
51bb84bb,b8c4f430,2021-01-25,1
6844fd90,35532739,2020-07-05,3
0a756a4c,b8c4f430,2021-03-28,1
22c9f102,72005112,2021-03-05,3
9dfafcf6,7a1b2da0,2021-01-20,3
981c2cc6,dfe75058,2020-10-20,2
d95e67e6,7a1b2da0,2021-05-22,3
c4155117,891a419f,2021-06-05,3
1920be9b,afee44e6,2020-12-14,2
23a45316,5da63f6f,2021-06-08,4
9d778dde,5da63f6f,2021-04-03,4
61079d9a,af8ceb8b,2020-10-28,2
97f1377b,894b36c1,2020-07-11,5
8e077ca1,894b36c1,2021-05-09,5
d78d090c,afee44e6,2020-12-12,1
433d0bc1,622aa154,2021-05-13,3
247af2d1,894b36c1,2021-04-13,5
49682dbf,71e881b0,2020-08-18,2
424606c2,72005112,2020-08-20,3
d766d81f,e45cc73b,2020-08-04,4
637ff726,35532739,2020-11-26,4
047cd306,72005112,2020-12-08,3
a1ed4771,7a1b2da0,2020-08-17,4
9ec4420c,266138ca,2021-01-09,0
4afa587c,622aa154,2021-03-09,3
245f95e4,5da63f6f,2021-01-27,3
8fb554f7,622aa154,2021-05-27,3
e669fa0e,894b36c1,2020-10-09,5
5de0471b,894b36c1,2021-03-24,5
9549f80d,5da63f6f,2021-05-08,4
ab09cbaa,894b36c1,2021-05-27,4
6f344374,6885ce91,2021-03-19,2
d16c0c89,891a419f,2020-08-02,2
a42efb7c,266138ca,2020-08-30,0
c7ab8997,af8ceb8b,2020-12-28,2
5fe44735,891a419f,2021-02-20,2
16558501,5da63f6f,2021-03-23,3
458f10d8,622aa154,2021-01-16,3
8e7dbfbe,ebb77707,2020-10-14,2
0f2000e7,72005112,2020-08-14,4
0459bae5,5da63f6f,2021-04-13,4
29939db1,894b36c1,2021-05-14,5
125a0e37,6885ce91,2020-09-04,3
d9c2d258,5da63f6f,2021-01-28,3
899cd63b,622aa154,2021-05-03,3
44102896,af8ceb8b,2021-01-08,2
7f9ba96a,b8c4f430,2020-08-11,2
ac3cb16f,ebb77707,2021-04-06,1
5914cd45,ebb77707,2020-07-27,1
fb50c266,7a1b2da0,2020-08-09,4
0c456055,b8c4f430,2020-12-28,1
ce9bcf27,266138ca,2021-04-26,1
5d365581,e45cc73b,2020-08-10,4
1b78dfb5,8c62add9,2021-06-21,2
949ccc9d,e45cc73b,2021-02-21,3
2152a726,af8ceb8b,2020-08-29,2
2119d790,ebb77707,2021-06-16,1
bfe512da,af8ceb8b,2021-05-07,3
17459ed8,72005112,2020-09-23,3
6e81a0ba,7a1b2da0,2021-02-20,3
1bdd2ea9,6885ce91,2020-11-26,3
aa35fa73,71e881b0,2020-07-30,1
6a64661c,72005112,2021-02-05,3
5164dbe8,622aa154,2020-12-22,2
d46b7fb0,622aa154,2020-10-15,2
8de070fe,e45cc73b,2020-12-21,3
a56b66f0,71e881b0,2020-07-26,2
eede83dc,8c62add9,2021-06-08,2
c5348225,894b36c1,2020-12-05,4
9c626e58,dfe75058,2021-05-18,3
f5f08c55,266138ca,2021-02-24,0
42cf216d,b2918457,2021-05-29,1
2648b445,72005112,2021-03-18,3
ecabcb17,6885ce91,2020-10-02,3
71b4b829,894b36c1,2021-03-15,4
f97037a2,b8c4f430,2020-12-05,1
5de29921,afee44e6,2021-06-08,1
8c2c02d9,622aa154,2021-03-25,2
7b72f8de,b8c4f430,2021-04-10,1
910e1ee2,6885ce91,2021-03-09,3
33796c17,ebb77707,2021-02-05,2
7ed1c6d0,ebb77707,2021-02-17,2
092e9c97,e45cc73b,2021-01-09,4
33a445fe,7a1b2da0,2021-03-28,4
821f38e6,894b36c1,2020-12-24,4
70d195fe,266138ca,2021-05-26,0
ee6a0419,ebb77707,2020-09-05,1
88dc0294,dfe75058,2020-10-11,3
c965b5c4,af8ceb8b,2021-05-13,3
62d05f8e,622aa154,2021-02-16,3
e9e570ea,72005112,2020-08-18,3
b0f31e9e,af8ceb8b,2020-08-10,2
0f2000e7,5da63f6f,2021-02-04,4
a0e506ed,622aa154,2021-02-24,2
5899b645,afee44e6,2021-02-21,2
e3539213,8c62add9,2020-10-17,1
41d76756,5da63f6f,2021-02-15,4
4f8542a6,894b36c1,2021-02-28,4
c894d827,891a419f,2021-06-09,3
be4dfd2f,72005112,2021-05-17,4
a5adbaf4,6885ce91,2020-09-05,2
5d365581,894b36c1,2021-04-10,5
055a14a9,dfe75058,2020-11-24,3
b7a5198b,71e881b0,2020-09-04,2
fddac900,71e881b0,2020-07-03,1
a7e2ec1c,e45cc73b,2020-07-14,3
61e74846,891a419f,2021-04-01,2
b9d34a2f,622aa154,2021-05-08,2
8ce3c33f,e45cc73b,2021-05-08,3
76053bea,6885ce91,2020-10-07,3
5fe44735,622aa154,2021-03-08,2
996bf287,35532739,2021-04-25,3
d053216a,6885ce91,2020-10-13,3
c00300e6,af8ceb8b,2020-12-04,2
84c068ea,7a1b2da0,2020-08-31,3
d21dce11,e45cc73b,2021-02-27,3
a07fa90f,af8ceb8b,2021-04-07,3
6f8e1a4e,35532739,2021-04-04,3
a7fc98fd,72005112,2021-05-15,3
d72c0488,72005112,2021-06-01,3
8462b0df,8c62add9,2020-12-25,2
e7c74f58,894b36c1,2020-12-31,4
a80975d2,35532739,2020-11-22,4
20ae5042,5da63f6f,2021-01-21,3
0089e511,7a1b2da0,2020-10-02,3
292954eb,e45cc73b,2020-09-28,4
227e51ed,6885ce91,2020-10-05,3
ab7b7e63,dfe75058,2021-03-08,3
6d5e7524,af8ceb8b,2020-07-26,2
02ab545e,b8c4f430,2020-09-16,1
dd1e2be6,e45cc73b,2021-02-19,3
378f63dc,7a1b2da0,2021-06-12,3
7b535f8c,35532739,2021-03-16,3
4f8542a6,35532739,2021-04-18,4
a61b5058,894b36c1,2021-05-01,5
2e7075f7,8c62add9,2020-07-05,2
544a709f,622aa154,2020-12-21,3
8263af41,af8ceb8b,2020-10-16,2
a2f3056a,d50a16a2,2021-01-17,1
b7ab96cb,72005112,2021-06-26,3
92735018,894b36c1,2020-09-25,4
443f1f85,6885ce91,2021-05-19,3
c00300e6,5da63f6f,2021-02-05,3
2d3d5738,622aa154,2021-06-07,3
6f70773c,7a1b2da0,2021-02-04,3
a61b5058,dfe75058,2021-02-28,3
5a32c904,8c62add9,2021-06-09,2
69c50cb7,ebb77707,2021-01-14,2
9f3668aa,45ef8414,2021-01-01,1
48a390b7,894b36c1,2021-01-09,4
31650e52,266138ca,2020-08-01,0
5c4c6fb9,72005112,2020-08-23,3
50b0d467,7a1b2da0,2021-05-05,4
8da47d87,8c62add9,2021-01-21,2
584d4d3c,ebb77707,2020-10-24,1
e6b513e4,b2918457,2020-11-24,1
e6de8862,e45cc73b,2021-02-10,3
f5f18321,891a419f,2020-10-15,3
055a14a9,35532739,2020-10-13,4
54a3f6da,35532739,2020-08-24,3
a56b66f0,72005112,2020-07-10,4
1f044a89,35532739,2021-01-25,3
3fc69524,e45cc73b,2021-06-25,3
360a6d03,d50a16a2,2020-08-16,1
e02c02e1,35532739,2020-09-08,3
1d205776,891a419f,2021-01-11,3
1cf19ac3,6885ce91,2020-10-16,3
22e717b8,5da63f6f,2021-04-13,4
4fe4e302,b8c4f430,2021-05-30,2
ccdd7891,7a1b2da0,2020-10-06,4
7f9ba96a,35532739,2021-01-07,3
52ae9a89,b8c4f430,2021-03-26,2
d66dcf22,5da63f6f,2021-02-28,3
89c3058a,afee44e6,2021-04-12,1
1b844387,622aa154,2021-02-18,3
9dfafcf6,622aa154,2021-05-04,2
030fa74c,b2918457,2021-03-23,1
a1fed8fc,6885ce91,2021-01-27,2
cf29a42a,ebb77707,2020-07-22,2
c9663f22,8c62add9,2021-03-08,1
1ff25e5a,af8ceb8b,2021-02-08,2
f8e069f1,7a1b2da0,2020-10-09,3
15c3ca7c,b8c4f430,2020-07-09,1
72d4d2a5,7a1b2da0,2020-10-25,4
7f1bd0b2,ebb77707,2020-07-27,1
70e786e9,dfe75058,2020-12-09,2
4067feb5,894b36c1,2021-02-07,4
bc80c8c5,e45cc73b,2020-12-02,4
033bf08b,8c62add9,2021-06-03,2
9c6c46e6,5da63f6f,2020-08-05,3
06296f1e,8c62add9,2021-04-26,1
8380d0f4,35532739,2020-10-05,4
74a847ae,894b36c1,2020-09-01,5
3bdf06fa,45ef8414,2020-09-19,0
64151f35,891a419f,2021-01-07,2
797dec98,72005112,2020-10-18,4
6b19ff26,894b36c1,2020-08-27,4
cbdf4c09,894b36c1,2020-08-25,5
64455aba,b2918457,2021-03-14,0
1d205776,72005112,2021-02-25,4
e08345ed,6885ce91,2021-01-02,2
dcad1b14,891a419f,2021-02-08,2
b38e2e19,891a419f,2021-01-10,3
c4155117,894b36c1,2021-06-27,4
36a10644,8c62add9,2020-11-29,1
910e1ee2,8c62add9,2021-02-17,2
c694fd63,dfe75058,2021-06-07,2
44102896,8c62add9,2020-09-14,2
a99d7cfd,dfe75058,2020-08-19,2
be32b146,891a419f,2021-04-13,2
4115df29,e45cc73b,2020-07-28,3
212300b1,72005112,2020-09-08,4
d64bfe69,b2918457,2021-06-16,0
896f7ced,35532739,2020-10-07,4
7c86745b,6885ce91,2021-06-23,3
600974f7,71e881b0,2020-09-07,1
17b0bafb,b8c4f430,2020-07-31,2
5e4bd7e5,5da63f6f,2021-04-15,4
619d7f84,8c62add9,2021-02-14,2
776de436,dfe75058,2020-08-03,3
6a2c7287,b2918457,2021-06-22,0
49682dbf,35532739,2021-01-11,4
896f7ced,5da63f6f,2021-02-04,3
152b314e,8c62add9,2020-09-13,2
9d8bbeeb,72005112,2020-12-22,3
8462b0df,7a1b2da0,2020-07-14,4
a86cff71,622aa154,2021-05-12,3
7a461d2c,71e881b0,2021-04-19,1
c4ec5270,dfe75058,2020-11-28,3
44f2b333,e45cc73b,2020-07-25,4
9c023e66,622aa154,2020-12-18,2
f1016b96,894b36c1,2020-08-13,5
f4084195,622aa154,2021-04-01,2
89b2a8c0,e45cc73b,2020-09-27,4
eeb393c4,e45cc73b,2020-12-20,3
57174a6a,b2918457,2020-08-08,1
74713ae5,5da63f6f,2020-07-28,3
eaf638d4,6885ce91,2020-09-22,3
8a86e0b3,b2918457,2020-08-24,0
38cd4169,622aa154,2021-01-11,3
d7387f39,35532739,2020-12-13,3
d67765c7,b8c4f430,2021-03-25,1
468a4966,b8c4f430,2020-12-08,2
a91cee72,7a1b2da0,2020-09-25,4
e57b33a2,35532739,2020-08-12,3
e460a5d5,6885ce91,2021-03-09,3
f28d1893,ebb77707,2021-05-01,1
b13f6c67,8c62add9,2020-09-08,1
a42efb7c,35532739,2021-03-31,4
4720ddfe,ebb77707,2021-04-19,2
20fe7527,dfe75058,2020-12-04,3
70e786e9,6885ce91,2021-04-09,3
3bdf06fa,7a1b2da0,2020-12-14,4
d76fc123,b2918457,2021-02-06,0
b38e2e19,e45cc73b,2021-02-23,3
e7c74f58,b2918457,2020-08-23,0
0881b257,622aa154,2020-07-21,2
6bc898bc,7a1b2da0,2020-11-06,3
2a430e06,e45cc73b,2020-07-01,3
4c533c68,afee44e6,2020-09-28,2
2fd0186c,622aa154,2020-07-14,2
a3e001b3,622aa154,2021-05-09,2
eeb393c4,35532739,2021-05-05,4
92f0763f,b2918457,2021-01-16,1
2d38f862,6885ce91,2020-08-06,3
67d0deb6,b2918457,2020-11-02,0
44f2b333,72005112,2021-02-10,3
974f8aeb,894b36c1,2020-07-28,5
69c50cb7,72005112,2020-07-07,4
5e7249d7,dfe75058,2020-11-05,2
fc4815b6,8c62add9,2020-09-16,1
8ad2ffcb,622aa154,2021-05-01,2
50b0d467,45ef8414,2020-08-27,0
643e3b57,5da63f6f,2020-10-12,4
27a539fe,71e881b0,2020-07-13,2
57174a6a,7a1b2da0,2021-05-11,4
b7a5198b,b8c4f430,2021-03-09,2
6ef52793,6885ce91,2020-09-10,2
03ae3cb4,622aa154,2020-09-13,2
64c60efa,5da63f6f,2021-01-19,3
74a847ae,8c62add9,2021-03-15,2
0793f641,266138ca,2020-12-23,1
797dec98,b2918457,2021-05-28,0
260534d3,5da63f6f,2021-02-20,4
4f90d9d0,72005112,2020-07-02,3
d39a68a3,5da63f6f,2021-06-27,4
0c97e215,b8c4f430,2020-11-25,1
37c499b1,622aa154,2021-02-01,2
357b1ea9,ebb77707,2021-06-01,2
68234327,af8ceb8b,2020-08-25,3
ea56b918,5da63f6f,2021-01-03,3
3723a49f,afee44e6,2021-02-23,2
21512a4a,35532739,2020-07-29,4
9f2a1f8b,dfe75058,2021-01-21,3
fd765f18,8c62add9,2021-03-22,2
8ff558f9,622aa154,2020-09-25,2
2a430e06,afee44e6,2020-09-21,1
