name,movie,date,rating
f06b5ba8,71e881b0,2021-08-11,2
5899b645,dfe75058,2021-12-20,3
a6e765f7,8c62add9,2022-06-03,2
9c626e58,afee44e6,2022-04-22,2
d812c3b8,45ef8414,2022-01-29,0
6f8e1a4e,7a1b2da0,2021-07-24,4
a86cff71,891a419f,2022-01-13,3
b15be2e4,afee44e6,2021-07-05,2
4de263a1,ebb77707,2022-03-29,1
9f3668aa,72005112,2021-09-04,4
7c8ee1cb,6885ce91,2022-02-01,2
0c97e215,8c62add9,2021-06-20,2
54094737,dfe75058,2022-05-13,2
22b862b0,5da63f6f,2022-04-23,4
7f27c775,b8c4f430,2021-09-24,1
c3f4e79c,e45cc73b,2021-12-17,4
781b5a77,8c62add9,2021-07-09,2
45ced5a8,b2918457,2021-08-22,0
e2d73531,71e881b0,2022-02-04,2
e3c4e488,72005112,2022-04-28,4
685b5fe7,e45cc73b,2021-07-20,4
afece185,ebb77707,2022-06-07,2
f0787903,71e881b0,2021-09-17,2
33796c17,5da63f6f,2021-10-10,4
de7f8028,ebb77707,2022-01-14,1
f3f38f85,7a1b2da0,2021-07-16,4
51bb84bb,35532739,2022-05-27,4
4afa587c,ebb77707,2022-02-10,1
b13f6c67,35532739,2022-01-22,4
ceaab1f0,8c62add9,2022-05-06,1
9077758a,b8c4f430,2021-06-19,1
fa567e53,71e881b0,2021-07-10,1
a7fc98fd,71e881b0,2021-11-30,1
9f2a1f8b,7a1b2da0,2021-09-14,3
3b879f14,894b36c1,2022-02-01,5
7b72f8de,266138ca,2021-09-18,1
227e51ed,5da63f6f,2021-07-16,4
7ed1c6d0,b2918457,2022-04-27,0
4067feb5,e45cc73b,2021-11-09,3
3a3a551a,ebb77707,2021-07-25,1
16f12ecf,dfe75058,2021-12-24,2
b15be2e4,266138ca,2022-06-02,0
6bd420ff,dfe75058,2021-12-30,2
a69d66bc,dfe75058,2022-03-28,2
2ff31d7e,266138ca,2021-12-15,0
4f2ae53e,e45cc73b,2021-10-20,4
4bec1bbc,266138ca,2022-05-24,0
50b0d467,622aa154,2021-08-20,3
e3c4e488,7a1b2da0,2021-10-13,4
c49b0d6d,6885ce91,2021-09-02,2
7de3d376,35532739,2022-01-22,4
91da8899,6885ce91,2022-05-06,2
a35b65c8,6885ce91,2022-01-06,3
b6a5efc0,891a419f,2021-06-29,2
2f6b93ba,af8ceb8b,2022-04-01,2
5f87892b,7a1b2da0,2021-10-26,3
a486decc,b8c4f430,2022-05-07,1
bb105f3e,72005112,2021-08-23,3
42b5994a,6885ce91,2021-12-26,2
c49b0d6d,894b36c1,2022-05-31,4
723dd568,ebb77707,2021-08-29,2
b73d1485,afee44e6,2022-05-01,2
c518bccd,71e881b0,2021-07-14,1
a487e9c6,5da63f6f,2022-01-08,3
3bdf06fa,35532739,2021-12-02,4
70d195fe,b2918457,2022-03-18,0
6f70773c,dfe75058,2021-12-10,2
3302cefe,af8ceb8b,2021-10-18,3
28240501,622aa154,2022-03-18,3
9f0c3360,72005112,2022-03-21,3
7f0ef81d,7a1b2da0,2022-04-21,4
f028bca5,b2918457,2021-08-07,0
c10c51e2,622aa154,2022-03-28,2
3b879f14,35532739,2022-03-11,3
c965b5c4,b8c4f430,2021-08-30,1
1e69d19e,5da63f6f,2021-07-29,4
58c57eb9,894b36c1,2021-08-13,5
600974f7,71e881b0,2021-11-11,2
a1fed8fc,891a419f,2021-11-26,3
776de436,b8c4f430,2021-08-08,1
dfe4d098,5da63f6f,2021-09-20,3
ade70bcd,894b36c1,2022-01-08,5
9079af62,dfe75058,2021-08-16,3
ab15a12c,8c62add9,2021-08-23,2
ef144b02,891a419f,2022-02-13,2
c2b0cdf0,ebb77707,2022-04-01,1
c15aca73,e45cc73b,2022-02-19,4
f3f38f85,72005112,2021-07-24,4
84ef7aa2,8c62add9,2021-08-04,2
50b0d467,35532739,2021-07-21,4
da9230c5,35532739,2022-05-08,3
13f8140c,afee44e6,2022-01-30,2
92f0763f,8c62add9,2021-08-16,2
332447c2,ebb77707,2021-06-20,2
bef6b623,e45cc73b,2022-01-15,3
61079d9a,e45cc73b,2022-03-26,3
ab09cbaa,622aa154,2022-03-28,3
c5475c70,5da63f6f,2022-02-09,3
e3118bcb,afee44e6,2022-02-07,1
03ae3cb4,ebb77707,2022-02-03,1
ac3cb16f,891a419f,2021-08-28,2
de057cc4,35532739,2022-04-14,4
e4bf1b76,894b36c1,2021-08-22,5
16558501,72005112,2021-09-06,3
e57b33a2,891a419f,2021-09-22,2
33792bd8,72005112,2021-08-01,3
c965b5c4,72005112,2021-12-25,3
93a985ad,7a1b2da0,2022-04-29,4
1cf19ac3,35532739,2021-12-26,3
237aa5bc,af8ceb8b,2022-01-05,2
7e00981e,afee44e6,2021-10-08,1
862660f2,894b36c1,2021-12-15,5
6a64661c,dfe75058,2021-12-12,2
e86ddbef,894b36c1,2021-11-07,4
3633150c,71e881b0,2022-05-18,2
9c023e66,ebb77707,2021-08-19,2
c08d4003,afee44e6,2022-06-08,1
f4084195,5da63f6f,2021-11-13,4
a0e506ed,b2918457,2022-05-10,0
a07fa90f,afee44e6,2021-12-05,2
a99d7cfd,72005112,2021-08-30,3
a0dfdf89,891a419f,2022-06-12,3
9d475003,266138ca,2021-09-02,1
78c421d9,5da63f6f,2022-01-17,3
8de070fe,6885ce91,2022-04-12,3
6f8e1a4e,af8ceb8b,2022-02-18,3
fddac900,35532739,2021-10-14,3
aff37e26,72005112,2021-09-19,3
ba9a93b8,e45cc73b,2021-11-16,4
5e7249d7,35532739,2022-03-20,4
29939db1,dfe75058,2022-02-04,3
39154d70,6885ce91,2022-01-09,3
489feb46,af8ceb8b,2021-09-23,3
7b535f8c,5da63f6f,2022-06-13,4
8462b0df,dfe75058,2021-10-06,3
be4dfd2f,8c62add9,2021-10-05,1
9ec4420c,e45cc73b,2021-08-14,3
eb5e0e91,7a1b2da0,2022-03-05,4
d812c3b8,af8ceb8b,2021-08-24,3
30fa7417,7a1b2da0,2022-05-10,3
17647ea0,7a1b2da0,2021-08-11,3
13f8140c,71e881b0,2021-11-17,2
5f2b0f12,45ef8414,2021-06-28,0
4450e1fa,266138ca,2022-03-11,0
e4bf1b76,af8ceb8b,2022-03-06,2
15ca39ec,5da63f6f,2021-08-25,4
f57de60b,8c62add9,2021-06-21,1
6b0dec55,7a1b2da0,2021-12-08,3
dcaa0749,af8ceb8b,2021-08-15,3
4afa2f9f,ebb77707,2021-10-22,2
7f0ef81d,e45cc73b,2021-12-18,4
6a64661c,894b36c1,2022-04-28,5
22b862b0,622aa154,2022-04-10,2
44102896,35532739,2022-06-09,4
9349344c,afee44e6,2022-05-29,1
542759c8,afee44e6,2022-06-03,1
5e4bd7e5,35532739,2022-03-01,4
5120916f,6885ce91,2021-12-28,2
e40883ec,e45cc73b,2021-11-02,4
e2150431,5da63f6f,2022-02-18,4
3410b948,8c62add9,2021-07-20,2
458f10d8,891a419f,2022-03-10,3
731f83a7,af8ceb8b,2022-05-09,2
b0bb87c0,891a419f,2022-01-08,3
0793f641,891a419f,2021-12-08,3
26108de1,35532739,2022-05-07,3
2f039011,71e881b0,2022-05-05,1
fc4815b6,5da63f6f,2022-01-23,3
b0f31e9e,7a1b2da0,2022-05-01,4
a80975d2,e45cc73b,2022-03-23,3
89b2a8c0,35532739,2021-11-28,3
1be4f3de,894b36c1,2021-12-12,4
f3931209,35532739,2021-07-24,4
030fa74c,72005112,2022-05-05,3
879a0911,622aa154,2021-08-19,2
62c7ff24,6885ce91,2021-10-04,3
4f76ef68,b8c4f430,2022-06-03,1
02ab545e,7a1b2da0,2021-06-20,4
433d0bc1,e45cc73b,2022-01-02,3
d6be3c68,afee44e6,2021-11-18,2
c06eb89d,35532739,2021-11-21,3
70d195fe,891a419f,2021-09-03,3
5babb874,af8ceb8b,2022-02-05,2
8fca5e98,891a419f,2022-03-21,2
655c925d,8c62add9,2021-06-20,1
59bda479,b2918457,2021-08-02,1
3e982991,b2918457,2022-01-11,0
fc4815b6,dfe75058,2022-04-20,3
44f2b333,35532739,2022-01-19,3
57061cc9,622aa154,2022-04-29,3
aa555fbb,622aa154,2022-03-24,3
