name,movie,date,rating
e08345ed,6885ce91,2021-04-25,2
9c000427,45ef8414,2020-06-26,1
b0184e37,afee44e6,2020-10-16,1
9c000427,ebb77707,2021-05-09,2
5a437ac2,6885ce91,2021-03-06,3
b0184e37,af8ceb8b,2020-10-31,3
9c000427,dfe75058,2020-09-01,2
b0184e37,71e881b0,2021-05-11,2
04ba6f18,b8c4f430,2021-03-02,1
b0184e37,72005112,2021-04-14,4
e08345ed,35532739,2021-02-22,4
b0184e37,622aa154,2020-07-04,2
5a437ac2,7a1b2da0,2021-04-22,4
5a437ac2,ebb77707,2021-06-07,2
9c000427,e45cc73b,2020-07-24,3
04ba6f18,7a1b2da0,2021-06-09,4
04ba6f18,5da63f6f,2020-09-29,4
e08345ed,622aa154,2021-03-12,3
e08345ed,d50a16a2,2021-02-06,0
9c000427,71e881b0,2021-02-19,1
e08345ed,72005112,2021-01-15,4
04ba6f18,afee44e6,2020-10-28,2
9c000427,894b36c1,2021-02-02,5
04ba6f18,622aa154,2020-08-25,3
b0184e37,8c62add9,2021-01-08,2
e08345ed,af8ceb8b,2021-03-05,2
5a437ac2,b8c4f430,2020-08-14,2
04ba6f18,894b36c1,2020-12-26,5
5a437ac2,894b36c1,2020-08-08,5
5a437ac2,afee44e6,2020-07-26,1
